Code,Title,Description,Related Job Titles,Tasks
2129,Engineering professionals n.e.c.,Workers in this unit group perform a variety of professional engineering functions not elsewhere classified in MINOR GROUP 212: Engineering Professionals.,"- Acoustician (professional)
- Food technologist
- Metallurgist
- Patent agent
- Scientific consultant
- Technical engineer
- Technologist
- Traffic engineer","- researches into problem areas to advance basic knowledge, evaluate new theories and techniques and to solve specific problems
- establishes principles and techniques to improve the quality, durability and performance of materials such as textiles, glass, rubber, plastics, ceramics, metals and alloys
- designs new systems and equipment with regard to cost, market requirements and feasibility of manufacture
- devises and implements control systems to monitor operational efficiency and performance of system and materials
- prepares sketches, drawings and specifications showing materials to be used, construction and finishing methods and other details
- examines and advises on patent applications
- provides technical consultancy services"
2131,It project managers,"Jobholders in this unit group manage, coordinate and technically supervise specific IT projects of a discrete duration and/or budget.","- Change manager (computing)
- Implementation manager (computing)
- IT project manager
- Project leader (software design)","- works with client or senior management to establish and clarify the aims, objectives and requirements of the IT project
- plans the stages of the project, reviews actions and amends plans as necessary
- coordinates and supervises the activities of the project team
- manages third party contributions to the project
- monitors progress including project budget, timescale and quality
- coordinates and oversees implementation of the project
- reports on project to senior management and/or client"
2132,It managers,"IT managers plan, organise, manage and coordinate the provision of IT services and functions in an organisation.","- Data centre manager
- Data visualisation manager
- IT manager
- Network operations manager (computer services)
- Product manager
- Service delivery manager
- UX manager","- plans, coordinates and manages the organisation's IT provision or a specialist area of IT activity
- liaises with users, senior staff and internal/external clients to clarify IT requirements and development needs
- takes responsibility for managing the development of an aspect of IT provision such as user support, network operations, service delivery or quality control
- supervises the technical team and coordinates training
- plans and monitors work and maintenance schedules to ensure agreed service levels are achieved
- reports on IT activities to senior management"
2133,"It business analysts, architects and systems designers",Workers in this unit group provide advice on the effective utilisation of IT and design IT systems in order to meet the business objectives or to enhance the business effectiveness of the organisation.,"- Business analyst (computing)
- Data communications analyst
- Change analyst (computing)
- Systems analyst
- Systems consultant
- Technical analyst (computing)
- Technical architect
- User experience architect","- liaises with internal/external clients to analyse business procedure, clarify clients' requirements and to define the scope of existing software, hardware and network provision
- undertakes feasibility studies for major IT developments incorporating costs and benefits, and presents proposals to clients
- communicates the impact of emerging technologies to clients and advises upon the potential introduction of such technology
- provides advice and assistance in the procurement, provision, delivery, installation, maintenance and use of IT systems and their environments
- examines existing business models and flows of data and designs functional specifications and test plans for new systems in order to meet clients' needs
- researches, analyses, evaluates and monitors network infrastructure and performance
- works closely with clients to implement new systems"
2134,Programmers and software development professionals,"Programmers and software development professionals design, develop, test, implement and maintain software systems on a range of platforms in order to meet the specifications and business objectives of the information system; they also design and develop specialist software e.g. for computer games.","- Analyst-programmer
- Database developer
- Games designer
- Interactive designer
- Mobile app developer
- Programmer
- Software engineer
- Website builder","- examines existing software and determines requirements for new/modified systems in the light of business needs
- undertakes feasibility study to design software solutions
- writes and codes individual programs according to specifications
- develops user interfaces
- tests and corrects software programs
- writes code for specialist programming for computer games, (for example, artificial intelligence, 3D engine development)
- implements and evaluates the software
- plans and maintains database structures
- writes operational documentation and provides subsequent support and training for users
- develops website and website interfaces and establishes methods to ensure appropriate website security and recovery"
2135,Cyber security professionals,"Jobholders in this unit group design, implement, test and maintain cyber security systems and track, investigate and analyse data linked to cybercrime.","- Data security manager
- Ethical hacker
- Forensic computer investigator
- IT security analyst
- Technical security consultant","- examines IT system for potential threats to its security and integrity and draws up response plans for situations where security is compromised
- develops test plans for security systems and undertakes and documents the testing of security systems weaknesses and errors, identifies source of problems and proposes solutions
- develops quality standards and validation techniques
- makes recommendations concerning software/system quality
- deals with and reports on breaches in security
- uses specialist software to gather and analyse information and evidence relating to cybercrime and presents findings to law enforcement officials or private clients"
2136,It quality and testing professionals,"Job holders in this test the quality of IT software, systems and computer games and identify and recommend solutions to problems and improvements that could be made.","- IT auditor
- Quality analyst (computing)
- Software testing consultant
- Systems tester (computing)
- Test analyst (computing)
- Test engineer (professional, software)","- undertakes the testing of software, systems or computer games for errors, identifies source of problems and proposes solutions
- develops, implements and documents test plans for IT software, systems and computer games
- develops quality standards and validation techniques
- makes recommendations concerning software/system quality"
2137,It network professionals,"IT network professionals design, set up and maintain computer networks, support the network users and fix problems which arise.","- Network consultant
- Network designer
- Network installation engineer
- Network planner","- implements and evaluates new networking environments, including software and hardware
- monitors performance and makes recommendations concerning network quality.
- creates users' accounts and provides troubleshooting service to users
- ensures network security, reports on, investigates and fixes network faults
- writes operational documentation and provides subsequent support and training for users"
2139,Information technology professionals n.e.c.,Job holders in this unit group perform a variety of tasks not elsewhere classified in MINOR GROUP 213: Information Technology Professionals.,"- Account manager (computing)
- Internet engineer (professional)
- IT planner
- IT consultant
- Technical evangelist
- Webmaster
- Web manager","- provides support to organisations in the operation of their IT software, hardware and networks
- meets with clients to determine their requirements and designs, tests and installs new systems to meet client's needs
- organises training for users and prepares documentation on IT systems
- manages and develops the content and operation of websites, monitors traffic, and ensures the functionality of websites and web servers"
2141,Web design professionals,"Jobholders in this unit group design, develop and maintain websites and web and mobile applications to meet a client�s specified requirements.","- Desktop publisher
- User interface designer
- UX designer (computing)
- Web designer
- Web producer","- liaises with internal/external client in order to define the requirements for the website or applications
- presents design options to the client
- designs web pages and applications including graphics, animation and functionality to maximise visual effectiveness and facilitate appropriate access
- designs web interfaces for relational database systems"
2142,Graphic and multimedia designers,"Graphic and multimedia designers use illustrative, sound, visual and multimedia techniques to convey a message for information, entertainment, advertising, promotion or publicity purposes, and create special visual effects, 3D models and animations for computer games, film, interactive and other media.","- 3D artist
- Animator (computing)
- Compositor (special effects)
- Creative design assistant
- Graphic artist
- Graphic designer
- Visual effects supervisor","- liaises with client to clarify aims of project brief, discusses media, software and technology to be used, establishes timetable for project and defines budgetary constraints
- undertakes research into project, considers previous related projects and compares costs of using different processes
- prepares sketches, scale drawings, models, colour schemes and other mock-ups to show clients and discusses any required alterations
- prepares specification and instructions for realisation of the project
- liaises with other parts of the production team to ensure graphic design fits with other elements, processes and timescales
- produces or oversees creation of the final product"
2151,Conservation professionals,"Conservation professionals are responsible for ensuring that landscapes, habitats and species are protected and enhanced via appropriate management and conservation. They promote public understanding and awareness of the natural environment and help to develop and implement appropriate policies to achieve these objectives.","- Conservation officer
- Countryside officer
- Ecologist
- Heritage manager
- Land management adviser
- Landscape scientist
- Marine conservationist","- promotes and implements local and national biodiversity action plans, particularly with regard to threatened species and habitats
- carries out environmental impact assessments and field surveys
- implements, evaluates and monitors schemes for the management and protection of natural habitats
- provides advice and information to government at national and local levels, clients, landowners, planners and developers to facilitate the protection of the natural environment
- liaises with other groups in the selection and maintenance of the Protected Site System including Special Areas of Conservation (SACs), Ramsar sites, and Sites of Special Scientific Interest (SSSIs) and National Nature Reserves (NNRs)
- maintains and develops knowledge in relevant policy areas within a national and European legislative context
- promotes conservation issues via educational talks, displays, workshops and literature and liaison with the media
- prepares applications for funding to other organisations, and assessing applications for funding from other organisations
- carries out research into aspects of the natural world"
2152,Environment professionals,"Jobholders in this unit group investigate, address, and advise on a variety of terrestrial and marine environment and resource management issues, including the development and implementation of environmental policies and remedies that address the impacts of human activities and industrial processes on the environment.","- Energy manager
- Environmental consultant
- Environmental engineer
- Environmental protection officer
- Environmental technician
- Flood risk manager
- Water quality scientist","- identifies contamination of land, air or water and assesses any adverse impact on the environment
- advises on and provides solutions for mitigating the effects of such contamination
- implements remediation works
- carries out environment-related desk-based research and fieldwork to collect, analyse and interpret data to determine their validity, quality and significance
- carries out or assists in environmental audits and environmental impact assessments
- communicates scientific and technical information to relevant audiences in an appropriate form, via reports, workshops, educational events, public hearings
- assists organisations to conduct their activities in an environmentally appropriate manner
- implements, reviews and advises on regulatory and legislative standards, guidelines and policies
- provides professional guidance to clients, government agencies, regulators and other relevant bodies, having regard for sustainable approaches and solutions"
2161,Research and development (r&d) managers,"Managers in this unit group plan, organise, co-ordinate and manage resources to undertake the systematic investigation necessary for the development of new, or to enhance the performance of existing, products and services.","- Clinical trials manager
- Consumer insights manager
- Creative manager (research and development)
- Design manager
- Market research manager
- Research manager (broadcasting)","- establishes product design and performance objectives in consultation with other business functions
- liaises with production departments to investigate and resolve manufacturing problems
- develops research methodology, implements and reports upon research investigations undertaken
- plans work schedules, assigns tasks and delegates responsibilities to the research and development team
- monitors the standards of scientific and technical research undertaken by the research team"
2162,"Other researchers, unspecified discipline","Job holders in this unit group perform research activities across a variety of disciplines for academic purposes or to provide the systematic investigation necessary for the development of new products and services, or to enhance the performance of existing ones.","- Postdoctoral researcher
- Research assistant (university)
- Research fellow (university)
- University researcher","- plans, directs and undertakes research into areas of academic interest or commercial importance to their organisation
- designs tests and experiments to address research objective and find solutions
- applies models and techniques to medical, industrial, agricultural, military and similar applications
- analyses results and writes up results of tests and experiments undertaken
- presents results of scientific research to sponsors, addresses conferences and publishes articles outlining the methodology and results of research undertaken
- designs and develops an appropriate research methodology in order to address the research objective
- compiles and analyses quantitative and qualitative data, prepares reports and presents results to summarise main findings and conclusions
- advises government, private organisations and special interest groups on policy issues"
2211,Generalist medical practitioners,"Generalist medical practitioners diagnose mental and physical injuries, disorders and diseases, prescribe and give treatment, recommend preventative action, and conduct medical education and research activities. They work in hospitals or in general practice and, where necessary, refer the patient to a specialist.","- Doctor
- General practitioner
- House officer (hospital service)
- Medical practitioner
- Physician","- examines patient, arranges for any necessary x-rays or other tests and interprets results
- diagnoses condition and prescribes and/or administers appropriate treatment
- administers medical tests and inoculations against communicable diseases
- supervises patient's progress and advises on diet, exercise and other preventative action
- refers patient to specialist where necessary and liaises with specialist
- prepares and delivers lectures, undertakes research, and conducts and participates in clinical trials
- supervises the implementation of care and treatment plans by other healthcare providers"
2212,Specialist medical practitioners,"Specialist medical practitioners specialise in particular areas of modern medicine, diagnose mental and physical injuries, disorders and diseases within their specialism, prescribe and give treatment, recommend preventative action, and conduct medical education and research activities","- Anaesthetist
- Consultant (hospital service)
- Homeopath (medically qualified)
- Paediatrician
- Psychiatrist
- Radiologist
- Surgeon","- examines patient, arranges for any necessary x-rays or other tests and interprets results
- diagnoses condition and prescribes and/or administers appropriate treatment/surgery
- administers medical tests and inoculations against communicable diseases
- supervises patient's progress and advises on diet, exercise and other preventative action
- provides specialist advice to generalist medical practitioners or other specialists
- performs specialist medical tasks such as surgery, anaesthetisation and diagnostic or interventional radiology
- prepares and delivers lectures, undertakes research, and conducts and participates in clinical trials
- takes overall responsibility for, supervises and directs the implementation of care and treatment plans by other healthcare providers"
2221,Physiotherapists,"Physiotherapists plan and apply massage, promote and encourage movement and exercise, use hydrotherapy, electro-therapy and other technological equipment in the treatment of a wide range of injuries, diseases and disabilities in order to assist rehabilitation by developing and restoring body systems.","- Electro-therapist
- Physiotherapist
- Physiotherapy practitioner","- examines medical reports and assesses patient to determine the condition of muscles, nerves or joints in need of treatment
- writes up patients' case notes and reports, maintains their records and manages caseload
- plans and undertakes therapy to improve circulation, restore joint mobility, strengthen muscles and reduce pain
- explains treatment to and instructs patient in posture and other exercises and adapts treatment as necessary
- offers advice and education on how to avoid injury and promote patient's future health and well-being
- supervises physiotherapy assistants
- monitors patient's progress and liaises with others concerned with the treatment and rehabilitation of patient, and refers patients requiring other specific medical attention"
2222,Occupational therapists,"Occupational therapists work with people who have a physical or learning disability or mental illness, actively engaging them in purposeful activities in order to maximise self-confidence, independent functioning and well-being.","- Community occupational therapist
- Occupational therapist
- Paediatric occupational therapist","- considers the physical, psychological and social needs of a patient that may result from illness, injury, congenital condition or lifestyle problems
- devises, designs, initiates and monitors carefully selected and graded treatments and activities as part of the assessment and intervention process
- liaises with a wide variety of other professionals in planning and reviewing ongoing treatments
- trains students and supervises the work of occupational therapy assistants
- makes home visits to clients, families and carers to organise support and rehabilitation and assist them to deal and cope with disability
- counsels clients in ways to promote a healthy lifestyle, prevention of illness and/or preparation for coping with increasing stages of illness
- maintains patient records, manages caseloads"
2223,Speech and language therapists,"Speech and language therapists are responsible for the assessment, diagnosis and treatment of speech, language, fluency and voice disorders caused by disability, injury or illness.","- Communication therapist
- Language therapist
- Speech and language therapist
- Speech therapist","- assesses, tests and diagnoses a client's condition
- designs and initiates appropriate rehabilitation and/or remedial programmes of treatment
- treats speech and language disorders by coaching and counselling clients or through the use of artificial communication devices
- attends case conferences and liaises with other specialists such as doctors, teachers, social workers and psychologists
- counsels relatives to help cope with the problems created by a patient's disability
- writes reports and maintains client caseloads"
2224,Psychotherapists and cognitive behaviour therapists,"Psychotherapists and cognitive behaviour therapists use a variety of therapies in one-on-one or group settings to help people with mental health issues, stress, emotional and relationship problems.","- Cognitive behavioural therapist
- Psycho-analyst
- Psychological counsellor
- Psychotherapist","- assesses and provides treatment for people suffering with mental illness, stress, and emotional and relationship problems
- talks with patients about their emotions, relationships and personal history
- analyses events, behaviour, and habits to understand their mode of thinking and feelings
- helps people come up with new ways to cope with their problems and to change their ways of thinking"
2225,Clinical psychologists,"Clinical psychologists work with people experiencing emotional, psychological or behavioural distress, perform tests and assess their emotional, cognitive and behavioural processes, and determine treatments to help patients improve their mental wellbeing.","- Clinical psychologist
- Consultant clinical psychologist","- administers tests to assess patients' needs through interviews, psychometric tests and observation of their behaviour
- determines appropriate treatment and may refer patients to other mental health professionals
- provides treatment or guidance using a variety of therapy and counselling techniques
- helps patients to manage their own psychological conditions
- maintains required contacts with family members, education or other health professionals, as appropriate, and recommends possible solutions to problems presented
- writes reports on their work and conducts applied research"
2226,Other psychologists,"Psychologists research, study and assess emotional, cognitive and behavioural processes and abnormalities in human beings and animals and how these are affected by genetic, physical and social factors.","- Educational psychologist
- Forensic psychologist
- Occupational psychologist
- Psychologist
- Psychometrist","- develops and administers tests to measure intelligence, abilities, aptitudes, etc. and assesses results
- develops treatment and guidance methods and gives treatment or guidance using a variety of therapy and counselling techniques
- observes and experiments on humans and animals to measure mental and physical characteristics
- analyses the effect of hereditary, social and physical factors on thought and behaviour
- studies psychological factors in the treatment and prevention of mental illness or emotional and personality disorders
- maintains required contacts with family members, education or other health professionals, as appropriate, and recommends possible solutions to problems presented
- applies professional knowledge and techniques within the workplace, addressing issues such as job design, work groups, motivation etc
- applies psychological treatment methods to help athletes achieve optimum mental health and enhance sporting performance"
2229,Therapy professionals n.e.c.,Job holders in this unit group plan and apply physical and therapeutic treatments and activities to assist recovery from physical and mental illness and to minimise the effects of disabilities not elsewhere classified in MINOR GROUP 222: Therapy professionals.,"- Acupuncturist
- Art therapist
- Chiropractor
- Dance movement therapist
- Family therapist
- Genetic counsellor
- Nutritionist
- Osteopath
- Sports therapist","- prescribes diet therapy and gives advice to patients, health care professionals and the public on dietetic and nutritional matters for those with special dietary requirements or to prevent illness amongst the general population
- diagnoses and treats disorders of vision and eye movements, monitors subsequent progress and recommends further optical, pharmacological or surgical treatment as required
- manipulates and massages patient to discover the cause of pain, relieve discomfort, restore function and mobility and to correct irregularities in body structure
- prevents, recognises and treats injuries incurred playing sports or doing exercise and helps people manage injuries and rehabilitate themselves
- adopts a holistic approach in assessing the overall health of the patient, and treats by inserting needles under the skin at particular locations according to the disorder being treated
- diagnoses and treats behavioural problems in animals
- provides support and guidance to patients regarding hereditary conditions and genetic testing."
2231,Midwifery nurses,"Midwifery nurses deliver, or assist in the delivery of babies, provide antenatal and postnatal care and advise parents on baby care. They work with other healthcare professionals and advise on and teach midwifery practice.","- Delivery suite manager
- Midwife
- Midwifery manager","- monitors condition and progress of patient and baby throughout pregnancy
- delivers babies in normal births and assists doctors with difficult deliveries
- monitors recovery of mother in postnatal period and supervises the nursing of premature and other babies requiring special attention
- advises on baby care, exercise, diet and family planning issues
- supervises more junior staff and directs the work of the midwifery unit
- plans and manages midwifery care services
- delivers lectures and other forms of training in midwifery practice"
2232,Community nurses,"Community nurses provide general nursing care for the sick, injured and others in need of care, and assist medical doctors with their tasks in settings outside of acute hospitals, such as clinics, health centres or visits to patients� homes.","- Community care nurse
- District nurse
- Health visitor
- Practice nurse","- plans, manages, provides and evaluates nursing care services within a community care setting
- provides basic care and monitors patients' general health such as blood pressure or body temperature
- administers drugs and medicines, applies surgical dressings and gives other forms of treatment
- assists medical doctors in conducting examinations and other medical procedures
- manages own case load
- plays an educational role for patients and families, helping to develop rehabilitation routines and advising on how to care for their condition in everyday life, disease prevention and nutrition"
2233,Specialist nurses,"Specialist nurses provide specialised nursing care and plan ongoing treatment for the sick, injured and others in need of care, take responsibility for patients within their sphere of practice and assist medical doctors with their tasks, work with other healthcare professionals and within teams of healthcare workers. They advise on and teach nursing practice.","- Advanced primary care nurse
- Intensive care nurse
- Clinical nurse specialist
- Theatre manager (hospital service)","- provides specialist care in their area of expertise, assesses patients, determines treatments and conducts a variety of medical procedures
- consults with and provides guidance to other nurses and healthcare professionals within their specialism
- gives consultations with patients and their families to explain a patient's condition and possible treatments
- plans duty rotas and organises and directs the work and training of ward and theatre nursing staff
- advises on nursing care, disease prevention, nutrition, etc. and liaises with hospital board/management on issues concerning nursing policy
- plans, manages, provides and evaluates nursing care services for patients, supervises the implementation of nursing care plans
- delivers lectures, and other forms of formal training relating to nursing practice"
2234,Nurse practitioners,"Nurse practitioners provide nursing care for the sick, injured and others in need of such care, assist medical doctors with their tasks and also provide care independently, including diagnosing patients, the ordering and interpretation of tests, the determination of treatment and prescription of medication.","- Health care practitioner
- Mental health practitioner
- Operating theatre practitioner
- Practitioner (nursing)","- assists medical doctors and works with other healthcare professionals to deal with emergencies and pre-planned treatment of patients
- manages own case load
- interviews and diagnoses patients, orders tests and interprets results and determines appropriate treatments
- monitors patient's progress, administers drugs and medicines, applies surgical dressings and gives other forms of treatment
- plans duty rotas and organises and directs the work and training of ward and theatre nursing staff
- plans, manages, provides and evaluates nursing care services for patients, supervises the implementation of nursing care plans"
2235,Mental health nurses,"Mental health nurses support and care for people with a range of mental health conditions, in hospital and community settings, and help them towards recovery and management of their conditions.","- Community mental health nurse
- Psychiatric nurse","- provides day to day support for and, in some cases, physical care for patients with a variety of mental health conditions
- participates in the preparation for physical and psychological treatment of patients with mental health conditions
- monitors patient's progress, encourages patients to participate in different therapies
- administers drugs and gives other forms of treatment
- works with other mental health professionals
- provides information to patients and their families about a patient's condition, how to manage it and possible treatments"
2236,Children's nurses,Children's nurses provide general or acute nursing care for children and young people with chronic or acute conditions and assist medical doctors with their tasks.,"- Community children's nurse
- Neonatal nurse
- Paediatric nurse
- School nurse","- assists medical doctors and works with other healthcare professionals to deal with emergencies and pre-planned treatment of patients
- manages own case load
- monitors children's progress, including the interpretation of the behaviour of young children too young to communicate
- administers drugs and medicines, applies surgical dressings and gives other forms of treatment
- works with parents to explain procedures and health conditions and to help them care for children when they return home
- advises on nursing care, disease prevention, and nutrition
- plans, manages, provides and evaluates nursing care services for patients, supervises the implementation of nursing care plans"
2237,Other nursing professionals,"Job holders in this unit group work provide general nursing care for the sick, injured and others in need of such care, assist medical doctors with their tasks and work with other healthcare professionals and within teams of healthcare workers in a variety of other professional nursing occupations not elsewhere classified in MINOR GROUP 223: Nursing Professionals.","- Clinical lead nurse
- Matron (care/residential home)
- Nurse
- Occupational health nurse
- Staff nurse
- Team leader (nursing)
- Ward manager","- assists medical doctors and works with other healthcare professionals to deal with emergencies and pre-planned treatment of patients
- manages own case load
- monitors patient's progress, administers drugs and medicines, applies surgical dressings and gives other forms of treatment
- cares for the physical and emotional wellbeing of patients in their care
- Informs and advises patients and their relatives on their health problems and how to care for themselves"
2240,Veterinarians,"Veterinarians diagnose and treat animal injuries, diseases and disorders, and advise on preventative action. They may work in practices, specialising according to their location in either a rural or urban area, or in the public sector or associated industries such as pharmaceuticals, food production or drug regulation.","- Veterinarian
- Veterinary practitioner
- Veterinary surgeon","- examines animals, diagnoses condition and prescribes and administers appropriate drugs, dressings, etc., and arranges or undertakes any necessary x-ray or other tests
- inoculates animals against communicable diseases
- administers local or general anaesthetics and performs surgery
- investigates outbreaks of animal diseases and advises owners on feeding, breeding and general care
- euthanises old, sick, terminally ill and unwanted animals
- performs tasks relating to food safety policy, regulation of veterinary drugs, quality control of veterinary products
- performs ante-mortem inspection of animals destined for the food chain, and animal post-mortem examinations
- carries out expert witness work and undertakes teaching of veterinary students
- maintains records, raises and forwards reports and certificates in compliance with current legislation"
2251,Pharmacists,"Pharmacists dispense drugs and medicaments in hospitals and pharmacies and advise on and participate in the development and testing of new drugs, compounds and therapies. They counsel on the proper use and adverse effects of drugs and medicines.","- Chemist (pharmaceutical)
- Dispensary manager
- Pharmaceutical chemist
- Pharmacist
- Pharmacy manager","- prepares or directs the preparation of prescribed medicaments in liquid, powder, tablet, ointment or other form following prescriptions issued by medical doctors and other health professionals
- advises health professionals on the selection and appropriate use of medicines
- highlights a drug's potential side effects, identifies harmful interactions with other drugs and assesses the suitability of treatments for patients with particular health conditions
- checks that recommended doses are not being exceeded and that instructions are understood by patients
- maintains prescription files and records issue of narcotics, poisons and other habit-forming drugs
- liaises with other professionals regarding the development, manufacturing and testing of drugs
- tests and analyses drugs to determine their identity, purity and strength
- ensures that drugs and medicaments are in good supply and are stored properly"
2252,Optometrists,"Ophthalmic opticians test patients� vision, diagnose defects and disorders and prescribe glasses or contact lenses as required.","- Doctor of optometry
- Ophthalmic optician
- Optician","- examines eyes and tests vision of patient, identifies problems, defects, injuries and ill health
- prescribes appropriate spectacle lenses, contact lenses and other aids
- advises patient on proper use of glasses, contact lenses and other aids, and on appropriate lighting conditions for reading and working
- refers patient to a specialist, where necessary
- carries out research with glass and lens manufacturers"
2253,Dental practitioners,"Dental practitioners diagnose dental and oral diseases, injuries and disorders, prescribe and administer treatment, recommend preventative action and, where necessary, refer the patient to a specialist.","- Dental surgeon
- Dentist
- Orthodontist
- Periodontist","- examines patient's teeth, gums and jaw, using dental and x-ray equipment, diagnoses dental conditions
- assesses and recommends treatment options to patients
- administers local anaesthetics
- carries out clinical treatments, restores teeth affected by decay etc., treats gum disease and other disorders
- constructs and fits braces, inlays, dentures and other appliances
- supervises patient's progress and advises on preventative action
- educates patients on oral health care
- refers patient to specialist, where necessary
- maintains patients' dental health records
- prepares and delivers lectures, undertakes research, and conducts and participates in clinical trials"
2254,Medical radiographers,"Medical (diagnostic) radiographers operate x-ray machines, ultrasound, magnetic resonance imaging and other imaging devices for diagnostic and therapeutic purposes, assist in the diagnosis of injuries and diseases and are involved in intervention procedures such as the removal of kidney stones. They operate under the supervision of senior staff. Therapeutic radiographers specialise in the planning and administration of radiotherapy treatment for patients with cancer.","- Medical photographer
- Nuclear medicine practitioner
- Radiographer
- Sonographer
- Therapeutic radiographer
- Vascular technologist","- uses a range of imaging devices for diagnostic and therapeutic purposes
- assesses patients and interprets clinical requirements to determine appropriate radiographic treatments
- verifies identity of patient and ensures that necessary preparations have been made for the examination/treatment
- decides length and intensity of exposure or strength of dosage of isotope
- positions patient and operates x-ray, scanning or fluoroscopic equipment
- maintains records of all radiographic/therapeutic work undertaken
- plans course of treatment with clinical oncologists and physicists
- calculates radiation dosage and maps volume to be treated
- explains treatment to patient and management of any side effects
- carries out post-treatment reviews and follow-ups"
2255,Paramedics,Paramedics provide first aid and life support treatment in emergency situations and transport sick and injured people who require skilled treatment.,"- Ambulance paramedic
- Emergency care practitioner
- Paramedic
- Paramedic-ECP","- drives ambulance or accompanies driver to respond to calls for assistance at accidents, emergencies and other incidents
- assesses the nature of injuries, provides first aid treatment and ascertains appropriate method of conveying patient
- resuscitates and/or stabilises patient using relevant techniques, equipment and drugs
- transports and accompanies patients who either require or potentially require skilled treatment whilst travelling
- briefs other medical staff when handing over the patient, and completes patient report forms describing the patient's condition and any treatment provided"
2256,Podiatrists,"Podiatrists (formerly known as chiropodists) diagnose and treat ailments and abnormalities of the human foot and lower limb, deal with minor infections, injuries and deformities, and conditions resulting from other major health disorders such as diabetes.","- Chiropodist
- Foot health practitioner (qualified)
- Podiatrist","- examines patient's feet to determine the nature and extent of disorder
- provides vascular and neurological assessment for the long-term management of chronic disorders and high-risk patients
- administers local anaesthetic where appropriate
- treats conditions of the skin, nails and soft tissues of feet by minor surgery, massage and heat treatment, padding and strapping or drugs
- prescribes, makes and fits pads and other orthotic appliances to correct and/or protect foot disorders
- those with advanced training may carry out minor surgery on the feet
- advises patients on aspects of foot care to avoid recurrence of foot problems
- delivers foot health education to groups such as the elderly, children, the homeless, those with medical problems such as arthritis
- refers patients who require further medical or surgical attention"
2259,Other health professionals n.e.c.,Job holders in this unit group perform a variety of other health-related professional occupations not elsewhere classified in MINOR GROUP 225: Other Health Professionals. They may work autonomously or in teams with other health workers.,"- Audiologist
- Clinical physiologist
- Dietician-nutritionist
- Family planner
- Occupational health adviser
- Physiologist","- provides expert technical and technological support in the delivery of critical care
- provides high level support within surgical teams before, during and after surgery
- operate heart-lung machines during surgical procedures
- conducts medical education relevant to specialism and provides team leadership and supervision
- diagnoses and treats patients with a variety of hearing-related problems
- conducts specialised diagnostic tests for a variety of health conditions and advise on treatment
- provides prosthetic devices to patients and advises on rehabilitation"
2311,Higher education teaching professionals,"Higher education teaching professionals deliver lectures and teach students to at least first degree level, undertake research and write journal articles and books in their chosen field of study.","- Fellow (university)
- Lecturer (higher education, university)
- Professor (higher education, university)
- Tutor (higher education, university)
- University lecturer
- University teaching assistant","- prepares, delivers and directs lectures, seminars and tutorials
- prepares, administers and marks examinations, essays and other assignments
- advises students on academic matters and encourages independent research
- provides pastoral care or guidance to students
- participates in decision making processes regarding curricula, budgetary, departmental and other matters
- directs the work of postgraduate students
- undertakes research, writes articles and books and attends conferences and other meetings"
2312,Further education teaching professionals,"Further education teaching professionals supervise and teach trade, technical, commercial, adult education, secondary and post-secondary courses to students beyond minimum school leaving age.","- FE College lecturer
- Lecturer (further education)
- Teacher (further education)
- Tutor (further education)","- prepares, delivers and directs lectures, seminars and tutorials
- prepares, administers and marks examinations, essays and other assignments
- arranges instructional visits and periods of employment experience for students
- assists with the administration of teaching and the arranging of timetables
- liaises with other professional and commercial organisations to review course content"
2313,Secondary education teaching professionals,"Secondary (and middle school deemed secondary), and sixth form education teaching professionals plan, organise and provide instruction in one or more subjects, including physical education and diversionary activities, within a prescribed curriculum.","- Curriculum leader (secondary school)
- Deputy head teacher (secondary school)
- Head of year (secondary school)
- Secondary school teacher
- Sixth form teacher
- Teacher (secondary school)","- prepares and delivers courses and lessons in accordance with curriculum requirements and teaches one or more subjects
- prepares, assigns and corrects exercises and examinations to record and evaluate students' progress
- prepares students for external examinations and administers and invigilates these examinations
- maintains records of students' progress and development
- supervises any practical work and maintains classroom discipline
- undertakes pastoral duties
- supervises teaching assistants and trainees
- discusses progress with student, parents and/or other education professionals
- assists with or plans and develops curriculum and rota of teaching duties"
2314,Primary education teaching professionals,"Primary (and middle school deemed primary) and education teaching professionals plan, organise and provide instruction to children at all levels up to the age of entry into secondary education.","- Deputy head teacher (primary school)
- Infant teacher
- Junior school teacher
- Primary school teacher","- prepares and delivers courses and lessons in accordance with curriculum requirements and teaches a range of subjects
- prepares, assigns and corrects exercises and examinations to record and evaluate students' progress
- prepares students for external examinations and administers and invigilates these examinations
- maintains records of students' progress and development
- teaches simple songs and rhymes, reads stories and organises various activities to promote language, social and physical development
- undertakes pastoral duties
- supervises teaching assistants and trainees
- discusses progress with student, parents and/or other education professionals
- assists with or plans and develops curriculum and rota of teaching duties"
